key,en,ar
SDN-942B51960613-658B15786683-X-6983220,Um Sana,أم سن
SDN-942B69992162-658B61272609-X-375499,Faraj Allāh,فرج الله
SDN-942B3923818-658B20729209-X-8385111,Kulla Kulla,كلّ كلّ
SDN-942B51960613-658B786718-X-381057,Abraq,أبرق
SDN-942B51960613-658B786718-X-364194,Wad Budayrī,ود بديري
SDN-942B51960613-658B15786683-X-6983288,Sinayra,سنير
SDN-942B2883900-658B65143818-X-7029358,Ad Dibeba,Ad Dibeba
SDN-942B11096066-658B61474799-X-375762,Esh Shihenab,الشهينب
SDN-942B3923818-658B61371907-X-8390222,Tamar,
SDN-942B6749338-658B55920549-X-363880,Wawa,وو
SDN-942B3923818-658B10289929-X-368979,Nyangadulo,نينغأدلو
SDN-942B51960613-658B786718-X-6983243,Shandi,شند
SDN-942B97861395-658B5321418-X-7031441,Zeleitaya,Zeleitaya
SDN-942B93854462-658B84587935-X-369131,Njumukul,نجمكل
SDN-942B80268870-658B42379236-X-444101,El Gabarna,El Gabarna
SDN-942B91082353-658B282942-X-368490,Qadīm,قديم
SDN-942B80268870-658B14038138-X-444136,Goz al Haj,غوز الهج
SDN-942B97552203-658B67351362-X-372655,Keilak,كيلك
SDN-942B2883900-658B61672055-X-7029313,Wad Ab Quşşa Qirerīşa,Wad Ab Quşşa Qirerīşa
SDN-942B80268870-658B49744868-X-443892,Birerab,Birerab
SDN-942B91082353-658B282942-X-376377,Dīs,ديس
SDN-942B89754425-658B55155001-X-380055,Afflanda,أفّلند
SDN-942B69992162-658B75251993-X-377910,Bagera,
SDN-942B69992162-658B75251993-X-377910,Bagera,
SDN-942B53073919-658B51731802-X-7026010,Awlad al Bushra,أولد البشر
SDN-942B69992162-658B5492704-X-372053,Kubbaka,كبّك
SDN-942B69992162-658B5492704-X-378258,As Sura,السر
SDN-942B82453041-658B49381066-X-365675,Tuhama,تهم
SDN-942B69992162-658B5492704-X-370674,Maltut,ملتت
SDN-942B51960613-658B59992430-X-370872,Maḩas Ruqaybah,محس رقيبة
SDN-942B3923818-658B75219108-X-379970,Agra,أغر
SDN-942B80268870-658B49744868-X-380447,Abū Sunayţāt,أبو سنيطات
SDN-942B69992162-658B37698204-X-364519,Umm Tigeirat,
SDN-942B86275988-658B15910067-X-376448,Dilu,
SDN-942B86275988-658B95310062-X-369942,Mogara,موغأر
SDN-942B69992162-658B39799222-X-378364,Ash Shiqlah,الشقلة
SDN-942B97861395-658B5321418-X-7001976,Lōgōrī,Lōgōrī
SDN-942B11096066-658B61474799-X-365454,‘Ujayjah,عجيجة
SDN-942B51960613-658B51623620-X-366505,Takala,تكل
SDN-942B1690804-658B32348928-X-366454,Tamaru,تمر
SDN-942B97861395-658B15644153-X-368306,Qurdūd Nyama,قردود نيم
SDN-942B86275988-658B26102505-X-373406,Jāmi‘Abū Jūrah,جامعبو جورة
SDN-942B51960613-658B77015060-X-369068,Nūrāb,نوراب
SDN-942B93854462-658B64088994-X-8385252,Ndatirni,
SDN-942B97552203-658B36248286-X-375520,Fanyer,
SDN-942B51960613-658B15786683-X-7026182,Dalqa,دلق
SDN-942B6749338-658B55920549-X-372078,Koya,كوي
SDN-942B93854462-658B86266976-X-368192,Randi,
SDN-942B80268870-658B60481889-X-443916,Es Salama,Es Salama
SDN-942B53073919-658B31729364-X-7026332,Abu Khanjar,أب خنجر
SDN-942B2883900-658B84828509-X-374877,Gheresli,
SDN-942B80268870-658B30942172-X-379518,Al Ganaet,Aj Janayef;El Ganaet
SDN-942B69992162-658B74043765-X-373369,Jaylī,جيلي
SDN-942B86275988-658B7364354-X-8148677,Abag,أبغ
SDN-942B97861395-658B73116180-X-7029659,Hillat Attomo,هلّة أتّومو
SDN-942B69992162-658B74043765-X-376755,Darāfisah,درافسة
SDN-942B93854462-658B34022269-X-380439,Abu Surug,
SDN-942B82453041-658B53777192-X-368227,Rahad aţ Ţābah,رهد الطابة
SDN-942B80268870-658B60481889-X-444032,Es Sawarid,Es Sawarid
SDN-942B2883900-658B61672055-X-7029388,Qora,قور
SDN-942B53073919-658B95748812-X-7028890,Um Jinqil,أم جنقل
SDN-942B53073919-658B51731802-X-375106,Garbur Walad,غأربر ولد
SDN-942B93854462-658B54406774-X-8385401,Berdei,
SDN-942B80268870-658B49244776-X-375890,El Ginefab,
SDN-942B97861395-658B39263773-X-365261,Umm Berembeita,
SDN-942B51960613-658B77015060-X-369702,Munnaga,منّغأ
SDN-942B93854462-658B79993469-X-363862,Weigo,
SDN-942B6749338-658B87167729-X-378918,‘Amara West,`Amara West
SDN-942B69992162-658B74043765-X-367983,Rubayţah,ربيطة
SDN-942B97552203-658B471537-X-367334,Shallūf,شلّوف
SDN-942B6749338-658B87589856-X-372828,Karendiwai,
SDN-942B11096066-658B16705481-X-368406,Hillat as Salamaniya,هلّة السلمني
SDN-942B51960613-658B77015060-X-364209,Wad Balaḩah,ود بلحة
SDN-942B11858188-658B96645241-X-374663,Gua,غأأ
SDN-942B80268870-658B49744868-X-443950,Hillat el Doshen,Hillat el Doshen
SDN-942B11096066-658B16705481-X-6991867,Hillat esh Sheikh al Basher,Hillat esh Sheikh al Basher
SDN-942B86275988-658B95310062-X-370953,Madīnah,مدينة
SDN-942B69992162-658B74043765-X-363495,Zaydah,زيدة
SDN-942B11858188-658B18841904-X-379592,Al Buwayḑah,البويضة
SDN-942B90817386-658B67889192-X-369979,Mitatib,متتب
SDN-942B82453041-658B59248673-X-372562,Khaiyoba,خإيوب
SDN-942B80268870-658B60481889-X-370901,Hillat el Maghawer,المغاوير
SDN-942B69992162-658B74043765-X-7028964,Um Diweq,Um Diweq
SDN-942B1690804-658B72074541-X-365567,Turdī,تردي
SDN-942B93854462-658B54406774-X-8384969,Didima,ددم
SDN-942B80268870-658B60481889-X-7023146,El Sayal el Saqer,El Sayal el Saqer
SDN-942B90817386-658B3360231-X-7024420,Hillat Qeli,قيلي
SDN-942B69992162-658B74043765-X-7029079,Al Qumriyya,القمريّ
SDN-942B11858188-658B98733817-X-366339,Tawarit,تورت
SDN-942B11096066-658B16705481-X-378308,As Samrā’,السمراء
SDN-942B51960613-658B15786683-X-375861,El Kuburab,
SDN-942B93854462-658B86266976-X-372122,Korra,
SDN-942B90817386-658B6286402-X-7024489,Hillat Salamah Sorōbh,Hillat Salamah Sorōbh
SDN-942B3923818-658B20729209-X-8541181,Kurra Kurra,كرّ كرّ
SDN-942B89754425-658B15430296-X-375952,Inha,إنه
SDN-942B80268870-658B49744868-X-366630,Suriba,سرب
SDN-942B53073919-658B51731802-X-369700,Munqaţi‘ah,منقطعة
SDN-942B51960613-658B786718-X-6983239,As Sidera,As Sidera
SDN-942B86275988-658B3195466-X-364565,Umm Sakeikini,أمّ سكيكيني
SDN-942B51960613-658B15786683-X-366478,Ţalḩah Aḩmad,طلحة أحمد
SDN-942B89754425-658B55155001-X-6983528,Arheit,Arheit
SDN-942B3923818-658B75219108-X-367943,Rumalia,روملأ
SDN-942B93854462-658B34022269-X-371485,Leijaina,وبون
SDN-942B3923818-658B61371907-X-377085,Burbūr,بربور
SDN-942B93854462-658B79993469-X-370644,Mamun,مأمون
SDN-942B97861395-658B15644153-X-7029526,Al Qiwez,Al Qiwez
SDN-942B93854462-658B86266976-X-374960,Gergeita,
SDN-942B97861395-658B48438192-X-378061,Ayad,أيد
SDN-942B90817386-658B3360231-X-7024832,Qaryah Tis‘ah,قرية تسعة
SDN-942B11096066-658B86367930-X-373922,Hawawit East,هووت
SDN-942B97861395-658B53081734-X-7031639,Ad Dilebāt,Ad Dilebāt
SDN-942B1690804-658B59643855-X-372189,Konjar,
SDN-942B1690804-658B59643855-X-372189,Konjar,كونجر
SDN-942B80268870-658B49244776-X-379691,Al Arāk,الأراك
SDN-942B51960613-658B22792001-X-7026568,Al‘ireki,Al‘ireki
SDN-942B1690804-658B38017091-X-376798,Dam Gamad,دم غأمد
SDN-942B53073919-658B44321525-X-6854143,Al Marwa,المرو
SDN-942B91082353-658B69021719-X-7029789,As Sirefa,As Sirefa
SDN-942B80268870-658B14038138-X-444121,El Ban Jaded,El Ban Jaded
SDN-942B80268870-658B14038138-X-444138,Hillat al Kiweib,Hillat al Kiweib
SDN-942B80268870-658B14038138-X-444073,Hillat el Hawya,Hillat el Hawya
SDN-942B82453041-658B19894577-X-368378,Qubbah,قبّة
SDN-942B90817386-658B67889192-X-376616,Degheim Fargi,
SDN-942B97861395-658B95846491-X-373755,Hugier el Farag,Hugeir al Farag
SDN-942B97861395-658B15644153-X-368896,Nyukr,نيكر
SDN-942B3923818-658B10289929-X-372672,Kedilnye,
SDN-942B69992162-658B5492704-X-366675,Sumayḩ,سميح
SDN-942B51960613-658B15786683-X-6991785,Katrat al Hamdiya,كترة الهمدي
SDN-942B80268870-658B60481889-X-444008,El Khamesab,El Khamesab
SDN-942B91082353-658B282942-X-364118,Wad Jum‘ah,ود جمعة
SDN-942B80268870-658B60481889-X-443974,Hillat el ‘Ared,Hillat el ‘Ared
SDN-942B51960613-658B15786683-X-7026193,Jad Al ‘En,Jad Al ‘En
SDN-942B53073919-658B4455443-X-6854131,At Tirera,At Tirera
SDN-942B91082353-658B77704874-X-368791,Old Roseires,
SDN-942B97861395-658B15644153-X-378454,‘Arsh al Yoi,عرش اليو
SDN-942B6749338-658B87167729-X-367631,Sāqiyat al ‘Abd,ساقية العبد
SDN-942B86275988-658B16334046-X-366405,Tangya,تنغي
SDN-942B11858188-658B75044057-X-379999,Aghbash,أغبش
SDN-942B80268870-658B60481889-X-443935,Hillat es Sol‘at,Hillat es Sol‘at
SDN-942B51960613-658B786718-X-7026678,Majama Madaris Abd al Ghani,مجم مدرس أبد الغن
SDN-942B51960613-658B59992430-X-372450,Al Khirerisha,خريريشة
SDN-942B53073919-658B31729364-X-7018698,Al Ḩaṣabāya,Al Ḩaṣabāya
SDN-942B53073919-658B51731802-X-7025992,Ab Darish,أب درش
SDN-942B91082353-658B90307628-X-367380,Shaeira,
SDN-942B53073919-658B95748812-X-7029249,Dabbat Al ‘Ajōz,Dabbat Al ‘Ajōz
SDN-942B80268870-658B49744868-X-443960,Hillat Qoz el Hag,إبرغ
SDN-942B89754425-658B15430296-X-7010720,Hillat Alashraf,هلّة ألشرف
SDN-942B51960613-658B51623620-X-7026130,Um Daqarsi,أم دقرس
SDN-942B86275988-658B7364354-X-378458,Er Rutrutaya,الرترتي
SDN-942B53073919-658B51731802-X-6991903,Hillat Kiday,هلّة كدي
SDN-942B93854462-658B67199928-X-372113,Kortei,
SDN-942B97861395-658B99970676-X-7029531,Lekek,Lekek
SDN-942B88867350-658B88867350-X-8523353,Dugdug,
SDN-942B93854462-658B64088994-X-8385044,Mango,تلب
SDN-942B51960613-658B15336674-X-374241,Ḩamadnā Allāh,حمدنا الله
SDN-942B97552203-658B56170266-X-375351,Foga,فوغأ
SDN-942B51960613-658B59992430-X-367244,Sharīf Barakāt,شريف بركات
SDN-942B80268870-658B49244776-X-380822,Abū Hashim,أبو هشم
SDN-942B69992162-658B74043765-X-7029029,Um Kheren,Um Kheren
SDN-942B69992162-658B74043765-X-373179,Kabūshah,كبوشة
SDN-942B53073919-658B44321525-X-379398,Al Huḑayb,الهضيب
SDN-942B97861395-658B72272794-X-6977079,Tarambal,ترمبل
SDN-942B53073919-658B47689734-X-367697,Salūqī,سلوقي
SDN-942B97552203-658B471537-X-364214,Wad Baḩr,ود بحر
SDN-942B80268870-658B14038138-X-444126,El Figelab,El Figelab
SDN-942B69992162-658B74043765-X-365236,Umm Burmah,أمّ برمة
SDN-942B51960613-658B21018606-X-370355,Ma‘surin,معسرن
SDN-942B3923818-658B10289929-X-366206,Tella,
SDN-942B97861395-658B95846491-X-365461,Ugheibish,أغيبش
SDN-942B51960613-658B786718-X-7026463,Al Khuwetāb,Al Khuwetāb
SDN-942B97861395-658B15644153-X-379161,Al Mahalabi,المهلب
SDN-942B6749338-658B55920549-X-370927,Magadib,مغأدب
SDN-942B53073919-658B47689734-X-364929,Umm Kāfūr,أمّ كافور
SDN-942B6749338-658B2878490-X-372322,Koban and Sorog,كوبن أند سوروغ
SDN-942B51960613-658B15336674-X-7026266,Al Qireqrīb,Al Qireqrīb
SDN-942B53073919-658B31729364-X-7018743,At Tonsa,التونس
SDN-942B86275988-658B7364354-X-8148670,Qoz Bedin,
SDN-942B69992162-658B39799222-X-374453,Habos,هبوس
SDN-942B86275988-658B29195193-X-8047368,Digri,دغر
SDN-942B80268870-658B30942172-X-378333,Asma,أسم
SDN-942B80268870-658B14038138-X-444070,Haye el ‘Arda el Mineqla,Haye el ‘Arda el Mineqla
SDN-942B6749338-658B87589856-X-375144,Ganetti,قنتي
SDN-942B6749338-658B87589856-X-375144,Ganetti,قنتّ
SDN-942B93854462-658B67199928-X-8385529,Kajalangi,
SDN-942B69992162-658B37119158-X-379315,Al Jubaylāt,الجبيلات
SDN-942B97861395-658B90615655-X-365625,Tumbira,تمبر
SDN-942B80268870-658B49744868-X-7023150,Hilla,هلّ
SDN-942B80268870-658B49744868-X-7023150,Hilla,هلّ
SDN-942B80268870-658B49744868-X-7023150,Hilla,هلّ
SDN-942B6749338-658B55920549-X-372033,Kudayn,كدين
SDN-942B90817386-658B3360231-X-7024830,Qaryah Ithnā ‘Ashar,قرية إثنا عشر
SDN-942B51960613-658B59992430-X-374199,Ḩamd Allāh,حمد الله
SDN-942B2883900-658B84828509-X-373832,Hilmi,هلم
SDN-942B1690804-658B28872194-X-379375,‘Alī,علي
SDN-942B86275988-658B15910067-X-372983,Kalu,كل
SDN-942B51960613-658B51623620-X-373892,Al Hibeka,Al Hibeka
SDN-942B86275988-658B65348086-X-376809,Damba Agi,دمب أغإ
SDN-942B80268870-658B60481889-X-443915,Ettleh,Ettleh
SDN-942B93854462-658B64088994-X-8385293,Andaboka,
SDN-942B51960613-658B77015060-X-378042,‘Ayn al Luwayqah,عين اللويقة
SDN-942B69992162-658B37119158-X-378727,An Nabalāt,النبلات
SDN-942B51960613-658B77015060-X-374081,Ḩarā’iz an Nefeidiya,Hara'iz an Nefeidiya;Heraiz en Nefeidiya
SDN-942B1690804-658B59643855-X-369828,Mu‘allaqa,معلّق
SDN-942B51960613-658B22792001-X-7026492,Al Hamaj,الهمج
SDN-942B93854462-658B86266976-X-8389554,Kemeran,
SDN-942B97552203-658B7044114-X-365344,Umm ‘Asal,أمّ عسل
SDN-942B97861395-658B73116180-X-7029624,Kireili,Kireili
SDN-942B69992162-658B74043765-X-365242,Umm Bunduq,أمّ بندق
SDN-942B51960613-658B59992430-X-365362,Umm ‘Angareib,Umm `Angareib
SDN-942B51960613-658B15786683-X-6983216,Qubbat Ashshekh Aḩmad Wad Al Faki Yousif,Qubbat Ashshekh Aḩmad Wad Al Faki Yousif
SDN-942B86275988-658B38164504-X-366561,Tabur,تبر
SDN-942B69992162-658B39799222-X-373617,‘Idd an Nabaq,عدّ النبق
SDN-942B1690804-658B59643855-X-367447,Senjo,
SDN-942B80268870-658B42379236-X-380620,Abu Qurun,أب قرن
SDN-942B91082353-658B69021719-X-372508,Khawr al Gana,خور الغأن
SDN-942B1690804-658B28872194-X-370181,Mellit,مليط
SDN-942B1690804-658B94495956-X-380891,Abū Giri,أبو غإر
SDN-942B90817386-658B22920435-X-7024388,Qallosit,قلّوست
SDN-942B93854462-658B54406774-X-8385202,Sureif,
SDN-942B88867350-658B88867350-X-7663361,Nazirs Fariq,نزرس فرق
SDN-942B91082353-658B90307628-X-380996,Abū Baraş,أبو برص
SDN-942B1690804-658B26313129-X-369888,Monguri,مونغأر
SDN-942B1690804-658B26313129-X-369888,Monguri,
SDN-942B11096066-658B55709038-X-6992257,Beyot Mustafa Abd al Gadir,Beyot Mustafa Abd al Gadir
SDN-942B1690804-658B72074541-X-380469,Abū Sikkīn,أبو سكّين
SDN-942B51960613-658B21018606-X-7026649,Um Basha,أم بش
SDN-942B93854462-658B86266976-X-366038,Tieri,
SDN-942B69992162-658B37119158-X-369060,Nūrayn,نورين
SDN-942B1690804-658B45814631-X-377501,Beira,
SDN-942B1690804-658B45814631-X-377501,Beira,
SDN-942B53073919-658B47689734-X-381170,‘Abd al Bāqī,عبد الباقي
SDN-942B69992162-658B74043765-X-364188,Wad Bur,ود بر
SDN-942B51960613-658B77015060-X-372371,Kiran,كرن
SDN-942B53073919-658B51731802-X-380802,Abu Hindi,أب هند
SDN-942B90817386-658B99685798-X-370149,Mereibi,
SDN-942B90817386-658B99685798-X-370149,Mereibi,
SDN-942B51960613-658B15336674-X-366990,Shukkaba Ţāhā,شكّب طاها
SDN-942B1690804-658B80869572-X-367858,Sabun Gardia,سبن غأردأ
SDN-942B97861395-658B73116180-X-7031422,Wad al Bayen,Wad al Bayen
SDN-942B80268870-658B49744868-X-443860,Hillat el Malaha,Hillat el Malaha
SDN-942B80268870-658B49744868-X-443860,Hillat el Malaha,Hillat el Malaha
SDN-942B1690804-658B73360873-X-367284,Shaqq al Ḩujaylīj,شقّ الحجيليج
SDN-942B3923818-658B10289929-X-372859,Karakulla,كركلّ
SDN-942B80268870-658B42379236-X-380841,Abū Ḩarāz,أبو حراز
SDN-942B93854462-658B23094141-X-369058,Nurei,نير
SDN-942B97861395-658B99970676-X-365361,Umm en Nar,أمّ النار
SDN-942B93854462-658B34022269-X-8389550,Habilei,
SDN-942B80268870-658B14038138-X-444067,El ‘Aqedab,El ‘Aqedab
SDN-942B97861395-658B99970676-X-378987,Al ‘Ufaynah,العفينة
SDN-942B51960613-658B786718-X-376126,Dunayqilah,دنيقلة
SDN-942B86275988-658B95310062-X-373352,Jibāl,جبال
SDN-942B53073919-658B95748812-X-7029100,Ad Dibeba,Ad Dibeba
SDN-942B69992162-658B5492704-X-376488,Dīdān ‘Abbās,ديدان عبّاس
SDN-942B53073919-658B31729364-X-7026078,Al Jimera,Al Jimera
SDN-942B86275988-658B34506299-X-7041101,Burusini,برسن
SDN-942B53073919-658B95748812-X-7029261,Jughub,جغب
SDN-942B1690804-658B84287182-X-7751670,Sandingu,سندنغأ
SDN-942B97861395-658B99970676-X-372798,Karnak,كرنك
SDN-942B11096066-658B61474799-X-364922,Um Katti,أم كتّ
SDN-942B69992162-658B75251993-X-379694,Al ‘Arā’ish,العرائش
SDN-942B97861395-658B99970676-X-7029534,Wakara,وكر
SDN-942B86275988-658B29195193-X-375435,Fatshwa,فتشو
SDN-942B97861395-658B53081734-X-370729,Malamm al Kār,ملمّ الكار
SDN-942B97861395-658B73116180-X-7029648,Toqun,توقن
SDN-942B3923818-658B4724147-X-365026,Umm Ḩarāz,أمّ حراز
SDN-942B3923818-658B75219108-X-8384711,Kalamhasina,كلمهسن
SDN-942B69992162-658B74043765-X-376096,Duraysah,دريسة
SDN-942B53073919-658B4455443-X-374865,Ghubaysh,غبيش
SDN-942B53073919-658B95748812-X-368414,Qoz Khadra,قوز خدر
SDN-942B51960613-658B15786683-X-6983210,Al Liwebda,Al Liwebda
SDN-942B1690804-658B26313129-X-366516,Ţāhir,طاهر
SDN-942B80268870-658B60481889-X-443984,Hillat en Naqarab,Hillat en Naqarab
SDN-942B90817386-658B3360231-X-7024385,Hillat Rimmat Qaid,هلّة رمّة قإد
SDN-942B97861395-658B72272794-X-365770,Tongi,تونغإ
SDN-942B3923818-658B23361016-X-373426,Jaja,جج
SDN-942B1690804-658B45814631-X-380725,Abū Kū‘,أبو كوع
SDN-942B51960613-658B15786683-X-6983206,Kidda,كدّ
SDN-942B86275988-658B7364354-X-379421,El Hashima,الهشم
SDN-942B97552203-658B38442198-X-378996,Al Uḑayyah,الأضيّة
SDN-942B11858188-658B18597122-X-374368,Hagokat,هغوكت
SDN-942B1690804-658B90950158-X-372217,Komora,كومور
SDN-942B1690804-658B59643855-X-375957,Eima,
SDN-942B11858188-658B18841904-X-373460,Jabal Qurayn,جبل قرين
SDN-942B86275988-658B98104956-X-372485,Kheir Wagih,مرد
SDN-942B91082353-658B90307628-X-375733,Fabirso,فبرسو
SDN-942B6749338-658B55920549-X-372272,Kokka,كوكّ
SDN-942B51960613-658B22792001-X-379103,Al Mijgha,المجغ
SDN-942B93854462-658B86266976-X-364085,Wad Nyala,ود نيل
SDN-942B11096066-658B86367930-X-6992442,El Aosar,El Aosar
SDN-942B97861395-658B73116180-X-7029609,Hillat al Far,هلّة الفر
SDN-942B93854462-658B79993469-X-8390175,’Aradeiba,كوجم
SDN-942B97861395-658B53081734-X-380757,Abu Jibeha,أبو جبيهة
SDN-942B91082353-658B90307628-X-375064,Gauga,غأغأ
SDN-942B51960613-658B786718-X-366320,Tawm Badr,توم بدر
SDN-942B93854462-658B86266976-X-380697,Abu Luk,
SDN-942B6749338-658B87589856-X-374776,Girra Barra,جرا
SDN-942B6749338-658B87589856-X-374776,Girra Barra,غإرّ برّ
SDN-942B51960613-658B15336674-X-366969,Shiqela,شقيلة
SDN-942B3923818-658B20729209-X-374336,Hagar Banga,هغأر بنغأ
SDN-942B11858188-658B18597122-X-364116,Wad Kabu,ود كب
SDN-942B2883900-658B84828509-X-364217,Wad az Zakī,ود الزكي
SDN-942B3923818-658B61371907-X-7754689,Godosgo,غودوسغو
SDN-942B53073919-658B4455443-X-6854051,As Silek,As Silek
SDN-942B2883900-658B27701575-X-373208,Kabbaro,كبّرو
SDN-942B11096066-658B16705481-X-6992696,Hillat Baroka,هلّة بروك
SDN-942B93854462-658B54406774-X-8385475,Jabal Sileia,
SDN-942B93854462-658B23094141-X-374375,Hagar Jembuh,
SDN-942B82453041-658B19894577-X-367273,Shaqq ‘Īsá aş Şā’igh,شقّ عيسى الصائغ
SDN-942B97861395-658B53081734-X-380136,Ed Dikeidik,الدكيدك
SDN-942B51960613-658B51623620-X-6991733,Ar Rwyanh,الرويانة
SDN-942B3923818-658B75219108-X-370640,Mana,من
SDN-942B86275988-658B15910067-X-369591,Musobikira,
SDN-942B82453041-658B19894577-X-378714,An Nair,النإر
SDN-942B69992162-658B39799222-X-379526,Al Furay‘,الفريع
SDN-942B91082353-658B75701613-X-7029781,Bear El Shakh,Bear El Shakh
SDN-942B80268870-658B42379236-X-370085,Mi‘einifa,Mi`einifa
SDN-942B53073919-658B51731802-X-7026030,Ghireqana,Ghireqana
SDN-942B51960613-658B22792001-X-7026596,Ar Rakha,الرخ
SDN-942B3923818-658B61371907-X-7754693,Dudeiri,
SDN-942B86275988-658B95310062-X-375615,Fakī Şādiq,فكي صادق
SDN-942B53073919-658B4455443-X-7029216,Al Gharaq,الغرق
SDN-942B80268870-658B14038138-X-379063,Al Qadād,القداد
SDN-942B80268870-658B42379236-X-378315,Es Salam,السلام
SDN-942B1690804-658B80869572-X-380268,Ādam Bawsh,آدم بوش
SDN-942B97552203-658B471537-X-369743,Mukhayzinah,مخيزنة
SDN-942B97861395-658B73116180-X-366140,Kukay,ككي
SDN-942B51960613-658B15336674-X-364927,Umm Kamadu,أمّ كمد
SDN-942B2883900-658B65143818-X-7029355,Zumurka,زمرك
SDN-942B97861395-658B17388764-X-376475,Digaia,دغأأ
SDN-942B53073919-658B31729364-X-7018790,‘Id at Timed,‘Id at Timed
SDN-942B69992162-658B74043765-X-364695,Umm Saga‘un,أمّ سغأعن
SDN-942B80268870-658B14038138-X-7014980,Omar Ennashe,Omar Ennashe
SDN-942B69992162-658B74043765-X-365503,‘Ubayd,عبيد
SDN-942B97861395-658B91404659-X-371965,Kuli,كل
SDN-942B86275988-658B98788246-X-368230,Rahad al Bardi,رهد البردي
SDN-942B97861395-658B73116180-X-371050,Lunga,لنغأ
SDN-942B97552203-658B38442198-X-375244,Gabr ad Dar,غأبر الدر
SDN-942B53073919-658B47689734-X-7028911,Rihed Khera,Rihed Khera
SDN-942B53073919-658B4455443-X-372598,Kirekirra,Kirekirra;Kiri Kera
SDN-942B11096066-658B86367930-X-444028,Fareq el Hawaweit,Fareq el Hawaweit
SDN-942B97861395-658B16224294-X-368070,Riḩāl,رحال
SDN-942B53073919-658B95748812-X-377162,Bakra,بكر
SDN-942B91082353-658B282942-X-375515,Fanziger,
SDN-942B2883900-658B27701575-X-378593,‘Arakīyīn,عركيّين
SDN-942B86275988-658B58223905-X-368300,Qurrāşah,قرّاصة
SDN-942B97552203-658B38442198-X-364909,Umm Khayrān,أمّ خيران
SDN-942B90817386-658B99685798-X-373504,Isagha,إسغ
SDN-942B97861395-658B39263773-X-365221,Umm Cham Chaka,
SDN-942B51960613-658B51623620-X-6991759,Hillat Barakat,حلة بركات
SDN-942B97552203-658B51401791-X-364955,Umm Jamālah,أمّ جمالة
SDN-942B93854462-658B23094141-X-365961,Tinniyat,تنّيت
SDN-942B93854462-658B34022269-X-370178,Melmelli,
SDN-942B97552203-658B36248286-X-376864,Dagma,دغم
SDN-942B97861395-658B26539632-X-366242,Teira,
SDN-942B51960613-658B59992430-X-379545,Al Fazaru,الفزر
SDN-942B97861395-658B15644153-X-7029444,Ad Dādōri,Ad Dādōri
SDN-942B53073919-658B44321525-X-6854153,Sharrat,شرّت
SDN-942B97861395-658B17388764-X-366057,Tibeldhiro,
SDN-942B51960613-658B15336674-X-373273,Jimiliaa,جملأّ
SDN-942B1690804-658B73360873-X-364208,Wad Balīlah,ود بليلة
SDN-942B97861395-658B95846491-X-363917,Werni,ورني
SDN-942B93854462-658B86266976-X-366820,Sisi,
SDN-942B69992162-658B39799222-X-373993,Hashābah,هشابة
SDN-942B2883900-658B55313236-X-367453,Senada,
SDN-942B3923818-658B75219108-X-8390214,Raga,
SDN-942B97552203-658B7044114-X-378976,Al ‘Umdah,العمدة
SDN-942B97861395-658B73116180-X-7029626,Zalatay,زلتي
SDN-942B11096066-658B55709038-X-6991605,Hillat Ash Sheikh Abu Qoron,أبوقرون
SDN-942B1690804-658B26042026-X-380321,Abyaḑ,أبيض
SDN-942B3923818-658B61371907-X-371732,Kuwayrah,كويرة
SDN-942B91082353-658B90307628-X-372504,Khawr Baba,خور بب
SDN-942B69992162-658B39799222-X-379468,Al Hagagia,الهغأغإأ
SDN-942B51960613-658B59992430-X-374314,Ḩājj Ibrāhīm,حاجّ إبراهيم
SDN-942B3923818-658B20729209-X-8384928,Danga,دنغأ
SDN-942B11096066-658B61474799-X-444004,Hillat el Bir,Hillat el Bir
SDN-942B80268870-658B42379236-X-444111,El Shoqla,El Shoqla
SDN-942B91082353-658B90307628-X-372039,Kubomesa,
SDN-942B1690804-658B59643855-X-370963,Madi,مد
SDN-942B1690804-658B59643855-X-374784,Giri,غإر
SDN-942B51960613-658B15336674-X-378293,Aş Şiddīq,الصدّيق
SDN-942B53073919-658B4455443-X-7029252,Sineţāya,Sineţāya
SDN-942B69992162-658B5492704-X-368251,Radona,ردون
SDN-942B91082353-658B90307628-X-375576,Fanadudu,فندد
SDN-942B51960613-658B786718-X-7026682,Um Dighenat,Um Dighenat
SDN-942B93854462-658B34022269-X-372201,Kongakonga,
SDN-942B51960613-658B59992430-X-372963,Kamīlāb,كميلاب
SDN-942B86275988-658B98104956-X-365554,Turmana,ترمن
SDN-942B97552203-658B51401791-X-373476,‘Iyāl ash Shayn,عيال الشين
SDN-942B88867350-658B88867350-X-369907,Mokwei,
SDN-942B69992162-658B83593835-X-380873,Abū Ḩadīd as Subhani,أبو حديد السبهن
SDN-942B93854462-658B86266976-X-365940,Tirto,
SDN-942B51960613-658B15786683-X-380187,Ad Dabbah,الدبّة
SDN-942B80268870-658B42379236-X-378154,Et Tikkawin,التكّوين
SDN-942B51960613-658B22792001-X-381127,‘Abd aş Şādiq,عبد الصادق
SDN-942B53073919-658B31729364-X-7018723,Sikera,Sikera
SDN-942B51960613-658B15786683-X-6983229,Az Zedab,Az Zedab
SDN-942B53073919-658B4455443-X-377378,Bint Ghanais,بنت غنإس
SDN-942B97861395-658B15644153-X-6977003,Tabdōn,Tabdōn
